Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
"Fresh, single handed, driven by doctor i10 sportz (Hyundai)",1485000,Manual2WD,silver,2010,14.0,1200,Petrol,46374
KIA SPORTAG on sale (Kia),2000000,Auto4WD,other,2006,13.0,2000,Diesel,54000
Hyundai tucson 1991 CC Fully loaded Four wheel 4×4 (Hyundai),2050000,Auto4WD,red,2009,16.0,1991,Diesel,85000
isuzu v-cross (Other Brands),4499999,Manual4WD,silver,2017,15.0,2499,Diesel,56000
Ford Ecosport (Ford),1770000,Manual2WD,other,2015,15.0,1500,Petrol,75000
Land cruiser Prado vx 2017 model (Toyota),24000000,Auto4WD,other,2017,15.0,3000,Diesel,78564
2003 model ko Omni seater van on sale (Maruti Suzuki),400000,Auto2WD,white,2003,14.0,796,Petrol,70000
Santro 2003 Model (Hyundai),775000,Manual2WD,other,2003,15.0,1100,Petrol,80000
Ford Eco Sport on sale (Ford),2150000,Auto2WD,other,2015,14.0,1500,Petrol,42000
i20 2016 urgent sale (Hyundai),2400000,Manual2WD,blue,2016,15.0,1200,Petrol,30000
car (Chevrolet),575000,Manual2WD,other,2012,15.0,1000,Petrol,25000
6 lakh good condition all tyre new (Kia),600000,Auto2WD,other,2004,15.0,1300,Petrol,45000
Ssangyong Rexton Automatic 4WD (Ssangyong),11000000,Auto4WD,other,2017,15.0,2157,Diesel,35000
Ford Figo (Ford),1600000,Manual4WD,red,2017,15.0,1656,Diesel,70000
2008 MODEL TOYOTA PRADO JEEP ON SALE (Toyota),7000000,Manual4WD,other,2008,15.0,3000,Diesel,110000
Honda Amaze 1.2 SMT 2014 (Honda),1775000,Manual2WD,other,2014,15.0,1200,Petrol,57000
Swift VXI 2016 (Maruti Suzuki),2000000,Manual2WD,silver,2016,15.0,1200,Petrol,49000
Second hand isuzu Dmax (Other Brands),1500000,Manual2WD,other,2018,15.0,2999,Diesel,35000
Second hand car (Tata),1300000,Manual2WD,other,2014,15.0,1248,Diesel,50000
urjent sale (Hyundai),1125000,Auto2WD,grey,2008,14.5,1086,Petrol,76009
Sale of Car (Datsun),1500000,PowerSteering,other,2017,15.0,1200,Petrol,14000
BMW 318i 2003 Model with Automatic Gear (Other Brands),4500000,Auto2WD,other,2003,15.0,2000,Petrol,62000
Nissan Super Saloon 2007 Model (Nissan),1250000,Manual2WD,other,2007,15.0,1500,Petrol,90000
Ford Endeavour 2016 Model with Automatic Gear (Ford),8300000,Auto4WD,other,2016,15.0,3200,Diesel,73000
Tata ALTROZ top verient (Tata),2900000,Manual2WD,other,2021,16.0,1200,Petrol,13000
Kia Hiace for sale. (Kia),1400000,Manual2WD,other,2011,15.0,2600,Diesel,114000
Hyundai I10 for sale (Hyundai),1850000,PowerSteering,other,2015,15.0,1100,Petrol,19800
VW POLO 1.6 (Volkswagen),2200000,Manual2WD,silver,2014,15.0,1600,Petrol,47000
Cheverolet spark (american brand) (Chevrolet),725000,Manual2WD,other,2009,15.0,995,Petrol,63000
Creta XsO CVT auto top 2021 (Hyundai),6650000,Auto2WD,other,2021,15.5,1499,Petrol,17000
"VOLKSWAGEN POLO 1.6 , 2014 model, Hatchback (Volkswagen)",2000000,PowerSteering,silver,2014,15.0,1600,Petrol,21000
Baleno Zeta 2016 Bagmati (Maruti Suzuki),2250000,Manual2WD,other,2016,15.0,1200,Petrol,59000
Car (Other Chinese Brands),1000000,Manual2WD,other,2008,15.0,1300,Petrol,20000
Sell or exchange (Ford),1975000,Manual2WD,other,2013,15.0,1500,Petrol,31000
Tucson 2009 model URGENT sale (Hyundai),2300000,Manual4WD,other,2009,15.0,1997,Diesel,67000
Mahindra Scorpio S5 4WD (Mahindra),3900000,Manual4WD,other,2017,14.0,2179,Diesel,70
Hyundai Elantra 2011 Model (Hyundai),3000000,Manual2WD,other,2011,15.0,1600,Petrol,65000
car (Maruti Suzuki),1300000,Manual2WD,silver,2010,13.0,1200,Petrol,68000
Suzuki WagonR 2016 vxi single hand excellent condi (Maruti Suzuki),1650000,Manual2WD,other,2016,14.0,1000,Petrol,37000
Suzuki swift 2021 Zxi+ top option single hand (Maruti Suzuki),2850000,Manual2WD,other,2021,14.0,1200,Petrol,22000
Maruti Suzuki Swift ZXI (Maruti Suzuki),2625000,Manual2WD,other,2018,15.0,1200,Petrol,33598
Suzuki Wagon R on sales (Maruti Suzuki),1100000,Manual2WD,other,2010,15.0,1061,Petrol,49565
Hyundai Creta 2016 (Hyundai),3200000,PowerSteering,other,2016,15.0,1499,Petrol,21500
Grand i10 Asta 2014 (Hyundai),2090000,Manual2WD,other,2014,15.0,1197,Petrol,42000
I10 Megna 2013 red color (Hyundai),1600000,Manual2WD,other,2013,13.0,1200,Petrol,62000
kia Picanto Ex 2010 (Kia),1175000,Manual2WD,other,2010,15.0,1086,Petrol,50000
Grand i10 Magna 2015 (Hyundai),2050000,Manual2WD,other,2015,15.0,1197,Petrol,39000
Nissan kicks 2021 model (Nissan),4100000,Manual2WD,grey,2021,15.0,1600,Petrol,32000
"2005 model kia picanto fulloption sale,exng bikes (Kia)",795000,Manual2WD,other,2005,15.0,1000,Petrol,65000
Hyundai grand i10 nios 2021 (Hyundai),2950000,Manual2WD,other,2021,13.0,1200,Petrol,6000
2008 model kia sorento fully loaded sale ot exng (Kia),2050000,Manual4WD,other,2008,15.0,2500,Diesel,65000
maruti van (Maruti Suzuki),690000,Auto2WD,silver,2012,15.0,800,Petrol,65000
Sale or Exchange: Volkswagen Cross Polo 1.6 (Volkswagen),2600000,Manual2WD,other,2016,15.0,1600,Petrol,23000
hyundai creta 2018 on sale (Hyundai),3775000,Manual2WD,other,2018,14.0,1500,Petrol,35000
"I10 Sportz Grey ,2011 Model 2 Hand , 52000 Km Run (Hyundai)",1580000,Manual2WD,other,2011,16.0,1197,Petrol,52000
omni van 8 seater 2016 single hand (Maruti Suzuki),850000,Auto2WD,silver,2016,16.0,800,Petrol,34000
mahindra supro t4 (Mahindra),750000,Auto2WD,red,2018,13.0,1000,Diesel,75000
Hyundai Creta 2021 sx ivt top model (Hyundai),6500000,Auto2WD,other,2021,15.0,1500,Petrol,6000
Hyundia I 10 magna (Hyundai),1700000,Auto2WD,other,2012,15.0,1197,Petrol,48000
Grand i10 Sportz on Sale (Hyundai),2475000,Manual2WD,other,2018,16.0,1200,Petrol,36500
Maruti Omni Van 2018 (Maruti Suzuki),920000,Auto2WD,silver,2018,13.0,796,Petrol,35000
Toyota Etios V (Toyota),1700000,PowerSteering,other,2014,15.0,1500,Petrol,52000
Zen Stailo Vxi 2010 (Maruti Suzuki),1025000,Manual2WD,gold,2010,15.0,996,Petrol,51000
Brezza on sale (Maruti Suzuki),4200000,PowerSteering,silver,2021,15.0,1500,Petrol,16000
Mahindra kuv100 k6 (Mahindra),1750000,Manual2WD,other,2016,16.0,1000,Petrol,44532
Suzuki (Maruti Suzuki),520000,Manual2WD,other,2001,16.0,1061,Petrol,75
Vw Vento 1.6L Highline Plus 2013 Exchange Also (Volkswagen),1775000,Manual2WD,other,2013,14.0,1600,Petrol,53500
"Kia Sonet , Kiasonet Car SUV (Kia)",3125000,Manual2WD,other,2021,15.0,1200,Petrol,42000
